EP011949, UNNAMED,7,,,,,,,,,,,,,,,,,,
19510805,600,, TS,12.9N,101.9W,45,,,,,,,,,,,,,,
19510805,1200,, TS,13.4N,103.8W,45,,,,,,,,,,,,,,
19510805,1800,, TS,14.2N,105.6W,45,,,,,,,,,,,,,,
19510806,0,, TS,15.1N,107.3W,45,,,,,,,,,,,,,,
19510806,600,, TS,16.0N,108.8W,45,,,,,,,,,,,,,,
19510806,1200,, TS,16.9N,110.2W,45,,,,,,,,,,,,,,
19510806,1800,, TS,17.3N,111.2W,45,,,,,,,,,,,,,,
19510807,0,, TS,17.5N,112.2W,45,,,,,,,,,,,,,,
19510807,600,, TS,17.5N,113.8W,45,,,,,,,,,,,,,,
19510807,1200,, TS,17.5N,115.3W,45,,,,,,,,,,,,,,
19510807,1800,, TS,17.7N,116.6W,45,,,,,,,,,,,,,,
19510808,0,, TS,18.0N,117.8W,45,,,,,,,,,,,,,,
19510808,600,, TS,18.2N,118.7W,45,,,,,,,,,,,,,,
19510808,1200,, TS,18.4N,119.7W,45,,,,,,,,,,,,,,
19510808,1800,, TS,18.6N,121.0W,45,,,,,,,,,,,,,,
19510809,0,, TS,18.8N,122.3W,45,,,,,,,,,,,,,,
19510809,600,, TS,19.1N,123.5W,45,,,,,,,,,,,,,,
19510809,1200,, TS,19.4N,124.8W,45,,,,,,,,,,,,,,
19510809,1800,, TS,19.5N,125.8W,45,,,,,,,,,,,,,,
19510810,0,, TS,19.6N,126.8W,45,,,,,,,,,,,,,,
19510810,600,, TS,19.7N,127.9W,45,,,,,,,,,,,,,,
19510810,1200,, TS,19.7N,129.0W,45,,,,,,,,,,,,,,
EP061951, UNNAMED,21,,,,,,,,,,,,,,,,,,
19510824,1200,, TS,15.6N,101.0W,45,,,,,,,,,,,,,,
19510824,1800,, TS,16.6N,103.4W,45,,,,,,,,,,,,,,
19510825,0,, TS,17.4N,105.1W,45,,,,,,,,,,,,,,
19510825,600,, TS,17.9N,106.2W,45,,,,,,,,,,,,,,
19510825,1200,, TS,18.5N,107.3W,45,,,,,,,,,,,,,,
19510825,1800,, TS,19.2N,108.5W,45,,,,,,,,,,,,,,
19510826,0,, TS,20.0N,109.7W,45,,,,,,,,,,,,,,
19510826,600,, TS,20.8N,110.9W,45,,,,,,,,,,,,,,
19510826,1200,, TS,21.6N,112.0W,45,,,,,,,,,,,,,,
